StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Prolific_ID,punishmore_1,punishmore_2,parsimony_1,parsimony_2,threestrikes_1,threestrikes_2,LWOP,deathpenalty,AttnCheck1,rates_1,rates_2,fear_1,fear_2,fear_3,AttnCheck2,dueprocess_1,dueprocess_2,dueprocess_3,uncertain_1,uncertain_2,uncertain_3,uncertain_4,hate_1,hate_2,hate_3,anger_1,anger_2,exclusion_1,exclusion_2,exclusion_3,degrad_1,degrad_2,degrad_3,suffer_1,suffer_2,prisonvi_1,prisonvi_2,harsh_1,harsh_2,harsh_3,revenge_1,revenge_2,revenge_3,rwa_1,rwa_2,rwa_3,rwa_4,rwa_5,sdo_1,sdo_2,sdo_3,sdo_4,sdo_5,sdo_6,sdo_7,sdo_8,venge_1,venge_2,venge_3,venge_4,venge_5,vprone_1,vprone_2,vprone_3,vprone_4,Raceresent_1,Raceresent_2,Raceresent_3,Raceresent_4,TV_1,TV_2,TV_3,TV_4,TV_5,TV_6,TV_7,TV_8,TV_9,Sentence_1,Sentence_OpenEnd1,Sentence_OpenEnd2,age_1,gender,race,education,politid,feedback
2025-12-02 23:37:36,2025-12-02 23:51:44,0,73.41.17.251,100,847,1,2025-12-02 23:51:44,R_5ixJE7XHIM0V4Wl,,,,,38.0296,-121.346,anonymous,EN,1,6630e55b3b999569b5a36635,3,7,1,4,7,7,7,7,9,7,7,1,6,6,4,5,3,7,4,6,6,5,7,1,7,7,7,7,7,4,1,4,7,6,7,1,7,7,1,7,4,4,4,6,7,3,6,6,6,7,3,3,7,7,3,3,4,4,5,4,3,6,5,5,4,1,7,7,1,7,4,4,4,1,4,6,1,4,50,"I gave Darryl the max and recommend it; his plan to steal turned into a kill, and though the kill was not the plan; his plan was maliciously criminal and deserves the maximum sentence in prison.",I hope he will rot and never be free again.   shame on him,45,1,4,6,7,I really enjoyed this study.  i feel crime is a big problem in The U.S. and it is getting worse.  Crime like the story I just read in this study cannot be tolerated.  Thank you for letting me participate.
2025-12-02 23:37:47,2025-12-02 23:52:32,0,24.23.223.248,100,885,1,2025-12-02 23:52:33,R_7VlNi53OM69ROIE,,,,,37.0882,-122.0887,anonymous,EN,1,68114b50b766b8f5b3b6cc8e,3,5,3,5,5,1,7,6,9,7,7,4,2,4,4,2,6,5,5,2,2,1,7,1,7,7,7,5,3,5,5,6,5,5,6,5,6,2,5,6,7,5,7,6,3,6,6,6,5,5,3,5,5,5,3,5,5,3,5,3,5,7,3,6,1,6,6,7,4,7,5,3,3,5,4,5,4,2,25,"He purposely killed that man. He had to know beating someone like that and kicking them in the face would do some serious damage. Not only is he a thief, he's a killer. ","Give him some time to think about what he did and maybe he can turn his life around while he's in there. ",54,1,1,3,4,It was a very in depth study. I enjoyed it very much. Thank you
2025-12-02 23:40:12,2025-12-02 23:52:58,0,223.29.140.186,100,766,1,2025-12-02 23:52:58,R_6hM8RIZc03zEvAS,,,,,37.751,-97.822,anonymous,EN,1,680c0636408121caf12fe0d1,1,7,1,1,7,1,7,7,9,7,7,5,1,1,4,7,7,1,4,7,1,1,1,1,7,1,7,1,1,1,7,1,1,1,1,4,7,1,7,1,1,1,1,7,7,1,7,7,1,1,7,7,1,1,7,7,7,1,1,1,7,1,1,1,1,7,4,7,7,7,7,7,7,7,7,7,7,7,30,Darryl actions were intentional and violent,to hold Darryl accountable for taking life,62,2,2,4,7,
2025-12-02 23:43:37,2025-12-02 23:53:53,0,174.225.69.126,100,615,1,2025-12-02 23:53:53,R_70TVPY1QKp1VnR7,,,,,29.1159,-82.2422,anonymous,EN,1,6722b6b9cb69415ce7f4c688,6,3,4,6,1,1,4,4,9,5,4,5,2,3,4,1,6,4,4,4,5,1,4,2,4,3,3,5,5,4,5,5,5,5,5,4,4,4,2,1,5,5,7,4,4,4,2,3,2,1,6,5,1,1,6,6,7,4,4,3,5,1,1,1,1,4,3,3,2,5,6,7,7,7,7,6,1,4,20,"Because 20 years is a long time, 25 is life in California, for 1st degree murder ",He will suffer and learn his lesson,42,1,4,4,7,
2025-12-02 23:40:42,2025-12-02 23:54:20,0,162.247.45.172,100,817,1,2025-12-02 23:54:20,R_17G2RVnXmJaDnTr,,,,,42.2808,-122.9047,anonymous,EN,1,5aa838354eecca0001de0a20,1,6,1,6,7,7,6,7,9,7,7,1,6,5,4,7,7,4,2,2,1,1,4,1,4,6,7,7,6,6,6,6,5,5,4,5,6,5,4,6,4,6,7,5,3,7,6,5,1,1,7,7,1,1,7,7,7,1,1,1,3,3,3,1,1,7,1,5,7,7,6,3,3,5,5,6,2,7,50,"He killed somebody in cold blood. ",For him to learn it’s not ok to hurt someone because you’re drunk,45,2,1,3,4,People should be punished for their crimes. However if it was the other way. What if she killed him because of self defense. I don’t think should should suffer or be punished because she got away from a hurtful man.
2025-12-02 23:43:55,2025-12-02 23:54:49,0,24.47.4.78,100,653,1,2025-12-02 23:54:50,R_377FQzldKAr29DP,,,,,40.6186,-73.9272,anonymous,EN,0.10000000149011612,67e92dbd9199b830fbecdf2e,3,6,2,4,6,6,7,6,9,5,6,5,5,5,4,5,5,5,4,5,4,4,5,3,5,6,6,5,6,5,5,3,5,5,5,4,5,6,4,4,3,4,3,5,3,5,6,6,4,2,6,6,2,2,6,6,4,5,5,4,4,3,4,3,2,5,4,5,4,6,3,4,5,6,2,5,2,5,50,He had a restraining order and he broke it. He had beat her so many times before and now he was the cause of her death. he gets the maximum sentence,He will never hurt anyone else again,28,1,1,4,2,
2025-12-02 23:43:10,2025-12-02 23:54:59,0,172.59.221.176,100,708,1,2025-12-02 23:54:59,R_1Htr2T1Q6wOy4DW,,,,,35.2072,-80.9568,anonymous,EN,1,65528ca1f6c3023502f65715,5,3,3,5,3,2,4,5,9,6,7,5,5,5,4,3,6,2,2,3,3,1,3,6,2,3,4,5,4,5,7,4,3,3,3,7,7,4,7,3,3,4,7,3,2,7,3,4,4,4,4,5,4,4,5,6,5,2,3,2,6,5,2,6,4,5,4,4,4,7,1,1,1,1,1,4,1,1,43,because he caused the death of another human with malicious intent,that by the time he is released he won't be able to commit another crime,50,2,1,3,2,
2025-12-02 23:41:57,2025-12-02 23:55:17,0,98.10.143.43,100,800,1,2025-12-02 23:55:18,R_67Kyrs0Fm8Vwqgp,,,,,43.2264,-78.0267,anonymous,EN,1,60ed200c728ab881912aac11,4,5,3,5,1,1,6,2,9,5,5,4,3,3,4,3,4,5,2,7,3,1,4,2,4,4,5,5,6,3,5,4,5,4,2,6,7,5,6,6,2,3,3,1,1,1,5,1,1,1,7,7,1,1,7,7,2,2,2,1,2,3,1,2,1,5,1,2,5,7,2,2,2,2,2,3,1,3,46,Darryl wanted to take a strangers purse. He should have ran away when she fought back but instead her followed and killed her. He killed an innocent woman over a purse without even knowing what was in the purse. She didn't deserve to die and didn't get to live her life. He shouldn't be able to live his life out of prison to make up for her loss.,I hope other people with agree with me.,35,2,1,2,5,
2025-12-02 23:38:01,2025-12-02 23:55:29,0,172.56.197.62,100,1047,1,2025-12-02 23:55:29,R_5kLlZM0QyqG4vzP,,,,,42.4125,-71.0034,anonymous,EN,1,66c0df877e3dd5e2c1966f18,6,2,3,6,2,1,5,3,9,5,4,2,4,2,4,5,7,3,4,2,4,1,4,4,4,4,4,3,3,3,7,5,3,2,4,7,7,2,5,1,2,2,7,2,1,7,1,5,1,1,7,7,1,1,7,7,1,1,1,1,7,6,1,5,2,6,2,6,7,7,1,3,5,1,5,5,5,5,50,"What he did was not just abuse, it was pure torture. This is not the first time he had reports of domestic violence. Not only did he barge into the house, hold them hostage in the apartment, held back her arm and punch her face in, but he chased around the block and when catching up, hit her causing her to fall into oncoming traffic and die. To me, that seems like it can come to more than one charge",That he suffers and people learn from this,23,2,1,2,4,
2025-12-02 23:42:31,2025-12-02 23:55:31,0,71.138.89.249,100,779,1,2025-12-02 23:55:32,R_7IcGCKQ2wFv9JZg,,,,,29.0329,-95.4027,anonymous,EN,1,5f0a7dec44c42c19a6c9f6d9,3,4,2,5,2,1,5,5,9,6,5,6,4,2,4,3,5,4,4,3,2,1,4,4,4,5,6,5,5,5,4,6,6,5,5,6,6,6,4,5,5,6,7,1,3,6,2,4,1,1,7,7,1,1,7,7,3,5,5,4,5,5,2,6,1,6,4,4,6,5,1,5,6,3,1,5,1,1,23,"He was responsible for what happened. Had he not of chased her down, she would've never been hit by a vehicle that took her life. ",Retribution that matches the level of his crime.,37,2,1,2,3,Enjoyed
2025-12-02 23:46:06,2025-12-02 23:55:49,0,136.226.126.85,100,583,1,2025-12-02 23:55:49,R_6feOqjumOonIAUw,,,,,39.7391,-104.9866,anonymous,EN,1,6609c596ac6ba651a47a15de,3,5,2,5,5,3,6,6,9,6,5,6,3,2,4,5,5,4,5,5,6,2,5,2,5,5,4,6,6,6,3,5,3,3,5,2,5,3,5,3,5,5,5,5,3,6,5,5,2,2,6,6,2,2,6,6,5,2,5,2,5,5,2,2,5,3,4,5,4,5,5,7,3,2,2,4,1,3,30,Maximum from normal range for crime and criminal background,get him off the streets,49,1,3,3,4,
2025-12-02 23:46:23,2025-12-02 23:56:08,0,172.115.107.90,100,585,1,2025-12-02 23:56:08,R_6Y5tc3v9iffj0ER,,,,,34.0282,-117.0372,anonymous,EN,1,663e4e95e7e0acca1b1cd005,4,5,4,4,4,4,6,3,9,6,3,4,5,6,4,3,4,4,5,6,4,3,4,3,6,5,3,5,4,6,6,3,4,5,4,4,7,4,4,6,6,5,4,4,1,7,4,3,5,4,4,6,4,5,3,5,4,6,5,3,5,5,5,3,4,6,3,4,7,7,1,1,1,1,1,1,1,1,30,"More than 20–25 years: because of the robbery motive, the ongoing violence, the destruction of the phone, and the fatal outcome. This was't a split-second accident; it involved several chances to stop.","For a long period, Darryl would be unable to harm others in the community.
30 years is a substantial term that keeps the public safe during what would be many of his adult years.",35,1,2,2,1,
2025-12-02 23:40:58,2025-12-02 23:56:26,0,47.146.2.169,100,927,1,2025-12-02 23:56:27,R_7y1IYuCggTceROS,,,,,34.2347,-119.1894,anonymous,EN,1,678f0bb28ec3307e4f1afb78,5,4,2,7,1,1,2,6,9,5,5,5,4,2,4,3,7,1,2,3,5,1,1,1,1,1,1,2,1,1,6,2,1,1,2,7,7,1,7,1,1,1,1,1,1,5,1,1,1,1,7,7,1,1,7,7,7,1,1,1,7,2,1,1,1,1,1,1,4,7,1,1,1,5,4,5,2,1,50,"He beatup and took the life of another human and deserves the death penelty ","it will take away his freedom and he will spend the rest of his life in prison ",56,1,1,5,4,
2025-12-02 23:46:44,2025-12-02 23:56:41,0,38.178.72.252,100,596,1,2025-12-02 23:56:41,R_6wnInE9izcQM8C9,,,,,33.7485,-84.3871,anonymous,EN,1,663bc254f4b7b1bf2cdd0a70,1,6,1,3,7,3,7,7,9,7,5,3,2,1,4,5,5,5,3,5,7,1,1,1,3,2,5,7,6,1,5,3,5,5,5,1,3,7,3,7,6,7,7,3,2,7,7,7,1,1,7,7,2,1,7,7,3,7,5,6,2,7,2,3,1,5,4,4,1,5,1,1,5,3,3,1,1,1,50,Darryl seems like a very dangerous person who isn't concerned with the law or what's right or wrong. I fear that if he were released he would go on to do this again or do another equally horrific crime.,I think it will keep other people out of harm's way and keep Darryl from ever having the chance to do this again. He deserves to be put away for life.,38,2,1,2,4,
2025-12-02 23:41:31,2025-12-02 23:56:51,0,174.18.48.209,100,920,1,2025-12-02 23:56:52,R_6q4dMZk09LN1aPo,,,,,32.185,-110.8171,anonymous,EN,1,66d6376eb15526056851d558,2,4,2,2,3,2,7,5,9,4,5,6,5,5,4,2,6,3,4,5,4,1,6,2,5,6,6,6,6,5,6,4,4,4,5,4,4,5,5,3,6,6,3,3,1,7,5,6,2,2,4,5,6,5,3,4,6,3,4,2,5,5,1,5,1,2,6,6,1,6,5,2,1,2,1,4,1,2,50,"He intentionally killed someone with premeditation. I believe anyone that intentionally kills someone with premeditation should be imprisoned for life. ","Some kind of justice for the loss of life and for Frankie's family. It will also keep Darryl out of society so he can't kill again or commit any other crimes. ",49,2,1,4,4,"Although the idea of group equality is nice, I believe everyone is responsible for their own situation in life. For example, it is not my, or society's, responsibility to ensure that a lazy person that doesn't want to work has equal money to someone that works hard. "
