"Progress","Duration..in.seconds.","Finished","ResponseId","Q_RecaptchaScore","Prolific_ID","punishmore_1","punishmore_2","parsimony_1","parsimony_2","threestrikes_1","threestrikes_2","LWOP","deathpenalty","AttnCheck1","rates_1","rates_2","fear_1","fear_2","fear_3","AttnCheck2","dueprocess_1","dueprocess_2","dueprocess_3","uncertain_1","uncertain_2","uncertain_3","uncertain_4","hate_1","hate_2","hate_3","anger_1","anger_2","exclusion_1","exclusion_2","exclusion_3","degrad_1","degrad_2","degrad_3","suffer_1","suffer_2","prisonvi_1","prisonvi_2","harsh_1","harsh_2","harsh_3","revenge_1","revenge_2","revenge_3","rwa_1","rwa_2","rwa_3","rwa_4","rwa_5","sdo_1","sdo_2","sdo_3","sdo_4","sdo_5","sdo_6","sdo_7","sdo_8","venge_1","venge_2","venge_3","venge_4","venge_5","vprone_1","vprone_2","vprone_3","vprone_4","Raceresent_1","Raceresent_2","Raceresent_3","Raceresent_4","TV_1","TV_2","TV_3","TV_4","TV_5","TV_6","TV_7","TV_8","TV_9","Sentence_1","Sentence_OpenEnd1","Sentence_OpenEnd2","age_1","gender","race","education","politid","feedback","vignette","response_order","X","X.1","X.2","punishmore_1_R","parsimony_1_R","parsimony_2_R","hate_2_R","degrad_1_R","prisonvi_1_R","prisonvi_2_R","harsh_2_R","fear_1_R","rwa_3_R","sdo_3_R","sdo_4_R","sdo_7_R","sdo_8_R","venge_1_R","venge_5_R","Raceresent_1_R","Raceresent_4_R","dueprocess_2_R","Sentence_z","punishmore_comp","parsimony_comp","threestrikes_comp","punitiveness_8item","punitiveness_8item_z","punitiveness_agg","crime_rates_comp","fear_comp","crime_concerns_agg","hatred_comp","anger_comp","emotions_agg","exclusion_comp","degradation_comp","suffering_comp","prisonvi_comp","harsh_comp","revenge_comp","hostile_agg","rwa_comp","sdo_comp","venge_comp","vprone_comp","raceresent_comp","bloodsports_comp","personality_agg","dueprocess_comp","uncertain_comp","process_agg","political_group"
100,766,1,"R_6hM8RIZc03zEvAS",1,"680c0636408121caf12fe0d1",1,7,1,1,7,1,7,7,9,7,7,5,1,1,4,7,7,1,4,7,1,1,1,1,7,1,7,1,1,1,7,1,1,1,1,4,7,1,7,1,1,1,1,7,7,1,7,7,1,1,7,7,1,1,7,7,7,1,1,1,7,1,1,1,1,7,4,7,7,7,7,7,7,7,7,7,7,7,30,"Darryl actions were intentional and violent","to hold Darryl accountable for taking life",62,2,2,4,7,"",1,504,NA,NA,NA,7,7,7,7,1,4,1,1,3,7,1,1,1,1,1,1,1,1,1,-0.350415439514018,7,7,4,6.25,1.74894131484489,0.699262937665436,7,1.66666666666667,3.8,5,4,4.6,1,1,1,2.5,1,1,1.1875,7,1,1,1,3.25,7,3.1,3,3.25,3.14285714285714,"Conservative"
100,615,1,"R_70TVPY1QKp1VnR7",1,"6722b6b9cb69415ce7f4c688",6,3,4,6,1,1,4,4,9,5,4,5,2,3,4,1,6,4,4,4,5,1,4,2,4,3,3,5,5,4,5,5,5,5,5,4,4,4,2,1,5,5,7,4,4,4,2,3,2,1,6,5,1,1,6,6,7,4,4,3,5,1,1,1,1,4,3,3,2,5,6,7,7,7,7,6,1,4,20,"Because 20 years is a long time, 25 is life in California, for 1st degree murder ","He will suffer and learn his lesson",42,1,4,4,7,"",1,503,NA,NA,NA,2,4,2,6,3,4,4,6,3,4,2,3,2,2,1,3,4,6,2,-1.14487959387778,2.5,3,1,2.625,-1.12546132143583,-1.13517045765681,4.5,2.66666666666667,3.4,4.66666666666667,3,4,4.66666666666667,4.33333333333333,5,4,3.66666666666667,5.66666666666667,4.5625,3.4,1.75,3,1,4,4.75,2.83333333333333,2.33333333333333,3.5,3,"Conservative"
100,817,1,"R_17G2RVnXmJaDnTr",1,"5aa838354eecca0001de0a20",1,6,1,6,7,7,6,7,9,7,7,1,6,5,4,7,7,4,2,2,1,1,4,1,4,6,7,7,6,6,6,6,5,5,4,5,6,5,4,6,4,6,7,5,3,7,6,5,1,1,7,7,1,1,7,7,7,1,1,1,3,3,3,1,1,7,1,5,7,7,6,3,3,5,5,6,2,7,50,"He killed somebody in cold blood. ","For him to learn it’s not ok to hurt someone because you’re drunk",45,2,1,3,4,"People should be punished for their crimes. However if it was the other way. What if she killed him because of self defense. I don’t think should should suffer or be punished because she got away from a hurtful man.",2,502,NA,NA,NA,7,7,2,7,2,3,2,4,7,1,1,1,1,1,1,5,1,1,1,0.995350443968003,6.5,4.5,7,6.125,1.64982398255935,1.32258721326368,7,6,6.4,5,6.5,5.6,6.33333333333333,4.33333333333333,4.5,2.5,5,5.66666666666667,4.875,4,1,1.8,2,2,4.25,2.33333333333333,4,1.5,2.57142857142857,"Moderate"
100,653,1,"R_377FQzldKAr29DP",0.100000001,"67e92dbd9199b830fbecdf2e",3,6,2,4,6,6,7,6,9,5,6,5,5,5,4,5,5,5,4,5,4,4,5,3,5,6,6,5,6,5,5,3,5,5,5,4,5,6,4,4,3,4,3,5,3,5,6,6,4,2,6,6,2,2,6,6,4,5,5,4,4,3,4,3,2,5,4,5,4,6,3,4,5,6,2,5,2,5,50,"He had a restraining order and he broke it. He had beat her so many times before and now he was the cause of her death. he gets the maximum sentence","He will never hurt anyone else again",28,1,1,4,2,"",2,501,NA,NA,NA,5,6,4,5,3,4,3,4,3,3,2,2,2,2,4,4,3,4,3,0.995350443968003,5.5,5,6,5.75,1.35247198570272,1.17391121483536,5.5,4.33333333333333,4.8,5,6,5.4,5.33333333333333,3.66666666666667,5,3.5,4.66666666666667,3.33333333333333,4.25,4.6,2.25,4.4,3,4,3.5,3.5,4.33333333333333,4.25,4.28571428571429,"Liberal"
100,708,1,"R_1Htr2T1Q6wOy4DW",1,"65528ca1f6c3023502f65715",5,3,3,5,3,2,4,5,9,6,7,5,5,5,4,3,6,2,2,3,3,1,3,6,2,3,4,5,4,5,7,4,3,3,3,7,7,4,7,3,3,4,7,3,2,7,3,4,4,4,4,5,4,4,5,6,5,2,3,2,6,5,2,6,4,5,4,4,4,7,1,1,1,1,1,4,1,1,43,"because he caused the death of another human with malicious intent","that by the time he is released he won't be able to commit another crime",50,2,1,3,2,"",3,500,NA,NA,NA,3,5,3,2,1,1,1,1,3,1,4,3,3,2,3,2,3,4,2,0.799844178926838,3,4,2.5,3.5,-0.431639995437038,0.1841020917449,6.5,4.33333333333333,5.2,2.33333333333333,3.5,2.8,4.66666666666667,2.66666666666667,3,1,2.66666666666667,4.66666666666667,3.25,2.6,3.5,2.4,4.25,3.75,1,2.96666666666667,2.33333333333333,2.25,2.28571428571429,"Liberal"
100,800,1,"R_67Kyrs0Fm8Vwqgp",1,"60ed200c728ab881912aac11",4,5,3,5,1,1,6,2,9,5,5,4,3,3,4,3,4,5,2,7,3,1,4,2,4,4,5,5,6,3,5,4,5,4,2,6,7,5,6,6,2,3,3,1,1,1,5,1,1,1,7,7,1,1,7,7,2,2,2,1,2,3,1,2,1,5,1,2,5,7,2,2,2,2,2,3,1,3,46,"Darryl wanted to take a strangers purse. He should have ran away when she fought back but instead her followed and killed her. He killed an innocent woman over a purse without even knowing what was in the purse. She didn't deserve to die and didn't get to live her life. He shouldn't be able to live his life out of prison to make up for her loss.","I hope other people with agree with me.",35,2,1,2,5,"",1,499,NA,NA,NA,4,5,3,6,3,2,1,2,4,7,1,1,1,1,6,6,3,3,4,0.920727207468008,4.5,4,1,3.375,-0.530757327722581,0.194984939872714,5,3.33333333333333,4,4.66666666666667,4.5,4.6,4.66666666666667,4,3,1.5,4.33333333333333,2.66666666666667,3.5,3,1,3.4,1.75,2.25,2,2.13333333333333,4,3.25,3.57142857142857,"Conservative"
100,1047,1,"R_5kLlZM0QyqG4vzP",1,"66c0df877e3dd5e2c1966f18",6,2,3,6,2,1,5,3,9,5,4,2,4,2,4,5,7,3,4,2,4,1,4,4,4,4,4,3,3,3,7,5,3,2,4,7,7,2,5,1,2,2,7,2,1,7,1,5,1,1,7,7,1,1,7,7,1,1,1,1,7,6,1,5,2,6,2,6,7,7,1,3,5,1,5,5,5,5,50,"What he did was not just abuse, it was pure torture. This is not the first time he had reports of domestic violence. Not only did he barge into the house, hold them hostage in the apartment, held back her arm and punch her face in, but he chased around the block and when catching up, hit her causing her to fall into oncoming traffic and die. To me, that seems like it can come to more than one charge","That he suffers and people learn from this",23,2,1,2,4,"",2,498,NA,NA,NA,2,5,2,4,1,1,1,3,6,1,1,1,1,1,7,1,2,1,1,0.995350443968003,2,3.5,1.5,2.75,-1.02634398915029,-0.0154967725911446,4.5,4,4.2,4,4,4,3,3,3,1,2,3.66666666666667,2.6875,2,1,2.2,3.5,2.75,5,2.46666666666667,3,2.75,2.85714285714286,"Moderate"
100,779,1,"R_7IcGCKQ2wFv9JZg",1,"5f0a7dec44c42c19a6c9f6d9",3,4,2,5,2,1,5,5,9,6,5,6,4,2,4,3,5,4,4,3,2,1,4,4,4,5,6,5,5,5,4,6,6,5,5,6,6,6,4,5,5,6,7,1,3,6,2,4,1,1,7,7,1,1,7,7,3,5,5,4,5,5,2,6,1,6,4,4,6,5,1,5,6,3,1,5,1,1,23,"He was responsible for what happened. Had he not of chased her down, she would've never been hit by a vehicle that took her life. ","Retribution that matches the level of his crime.",37,2,1,2,3,"Enjoyed",2,497,NA,NA,NA,5,6,3,4,4,2,2,4,2,2,1,1,1,1,5,3,2,2,3,-1.14778743991779,4.5,4.5,1.5,3.875,-0.134287998580412,-0.641037719249102,5.5,2.66666666666667,3.8,4,5.5,4.6,5,5.33333333333333,5,2,5,6,4.875,2.4,1,4.4,3.5,3,2.25,2.56666666666667,3.33333333333333,2.5,2.85714285714286,"Liberal"
100,583,1,"R_6feOqjumOonIAUw",1,"6609c596ac6ba651a47a15de",3,5,2,5,5,3,6,6,9,6,5,6,3,2,4,5,5,4,5,5,6,2,5,2,5,5,4,6,6,6,3,5,3,3,5,2,5,3,5,3,5,5,5,5,3,6,5,5,2,2,6,6,2,2,6,6,5,2,5,2,5,5,2,2,5,3,4,5,4,5,5,7,3,2,2,4,1,3,30,"Maximum from normal range for crime and criminal background","get him off the streets",49,1,3,3,4,"",3,496,NA,NA,NA,5,6,3,6,5,6,3,3,2,2,2,2,2,2,3,3,5,4,3,-0.284169605407477,5,4.5,4,4.875,0.658650659703926,0.187240527148224,5.5,2.33333333333333,3.6,5.33333333333333,4.5,5,6,4.33333333333333,4,4.5,3,5,4.5,4,2,3,3.5,4.5,2.25,3.06666666666667,4,4.5,4.28571428571429,"Moderate"
100,585,1,"R_6Y5tc3v9iffj0ER",1,"663e4e95e7e0acca1b1cd005",4,5,4,4,4,4,6,3,9,6,3,4,5,6,4,3,4,4,5,6,4,3,4,3,6,5,3,5,4,6,6,3,4,5,4,4,7,4,4,6,6,5,4,4,1,7,4,3,5,4,4,6,4,5,3,5,4,6,5,3,5,5,5,3,4,6,3,4,7,7,1,1,1,1,1,1,1,1,30,"More than 20–25 years: because of the robbery motive, the ongoing violence, the destruction of the phone, and the fatal outcome. This was't a split-second accident; it involved several chances to stop.","For a long period, Darryl would be unable to harm others in the community.
30 years is a substantial term that keeps the public safe during what would be many of his adult years.",35,1,2,2,1,"",1,495,NA,NA,NA,4,4,4,5,2,4,1,4,4,1,4,2,5,3,4,3,2,1,4,-0.350415439514018,4.5,4,4,4.25,0.163063998276215,-0.0936757206189017,4.5,5,4.8,5,4,4.6,5,3,4.5,2.5,4.66666666666667,5,4.1875,2.6,4,4.2,4.25,2.5,1,3.23333333333333,3.66666666666667,4.5,4.14285714285714,"Liberal"
100,927,1,"R_7y1IYuCggTceROS",1,"678f0bb28ec3307e4f1afb78",5,4,2,7,1,1,2,6,9,5,5,5,4,2,4,3,7,1,2,3,5,1,1,1,1,1,1,2,1,1,6,2,1,1,2,7,7,1,7,1,1,1,1,1,1,5,1,1,1,1,7,7,1,1,7,7,7,1,1,1,7,2,1,1,1,1,1,1,4,7,1,1,1,5,4,5,2,1,50,"He beatup and took the life of another human and deserves the death penelty ","it will take away his freedom and he will spend the rest of his life in prison ",56,1,1,5,4,"",3,494,NA,NA,NA,3,6,1,7,2,1,1,1,3,3,1,1,1,1,1,1,7,4,1,1.38354390895301,3.5,3.5,1,3,-0.828109324579207,0.2777172921869,5,3,3.8,3,1,2.2,1.33333333333333,1.66666666666667,1.5,1,1,1,1.25,1.4,1,1,1.25,3.25,2,1.53333333333333,1.66666666666667,2.75,2.28571428571429,"Moderate"
100,596,1,"R_6wnInE9izcQM8C9",1,"663bc254f4b7b1bf2cdd0a70",1,6,1,3,7,3,7,7,9,7,5,3,2,1,4,5,5,5,3,5,7,1,1,1,3,2,5,7,6,1,5,3,5,5,5,1,3,7,3,7,6,7,7,3,2,7,7,7,1,1,7,7,2,1,7,7,3,7,5,6,2,7,2,3,1,5,4,4,1,5,1,1,5,3,3,1,1,1,50,"Darryl seems like a very dangerous person who isn't concerned with the law or what's right or wrong. I fear that if he were released he would go on to do this again or do another equally horrific crime.","I think it will keep other people out of harm's way and keep Darryl from ever having the chance to do this again. He deserves to be put away for life.",38,2,1,2,4,"",2,493,NA,NA,NA,7,7,5,7,3,7,5,5,5,1,1,1,1,1,5,6,3,7,3,0.995350443968003,6.5,6,5,6.125,1.64982398255935,1.32258721326368,6,2.66666666666667,4,3.66666666666667,3.5,3.6,4.66666666666667,3.66666666666667,5,6,6.33333333333333,6.66666666666667,5.375,4,1.125,5.8,3.25,4.5,2.5,3.3,4.33333333333333,4,4.14285714285714,"Moderate"
100,920,1,"R_6q4dMZk09LN1aPo",1,"66d6376eb15526056851d558",2,4,2,2,3,2,7,5,9,4,5,6,5,5,4,2,6,3,4,5,4,1,6,2,5,6,6,6,6,5,6,4,4,4,5,4,4,5,5,3,6,6,3,3,1,7,5,6,2,2,4,5,6,5,3,4,6,3,4,2,5,5,1,5,1,2,6,6,1,6,5,2,1,2,1,4,1,2,50,"He intentionally killed someone with premeditation. I believe anyone that intentionally kills someone with premeditation should be imprisoned for life. ","Some kind of justice for the loss of life and for Frankie's family. It will also keep Darryl out of society so he can't kill again or commit any other crimes. ",49,2,1,4,4,"Although the idea of group equality is nice, I believe everyone is responsible for their own situation in life. For example, it is not my, or society's, responsibility to ensure that a lazy person that doesn't want to work has equal money to someone that works hard. ",3,492,NA,NA,NA,6,6,6,6,2,4,4,3,2,1,4,3,5,4,2,3,6,7,2,1.38354390895301,5,6,2.5,4.875,0.658650659703926,1.02109728432847,4.5,4,4.2,5.66666666666667,6,5.8,5.66666666666667,3.33333333333333,4.5,4,3.66666666666667,5,4.375,3.2,3.875,2.8,3,6.25,1.25,3.43333333333333,2.33333333333333,3.5,3,"Moderate"
100,816,1,"R_3DwYcX0st1kRWVz",0.899999976,"677da02dc68ea2b62a30b052",4,7,1,1,7,7,7,7,9,3,1,7,1,1,4,1,7,7,4,7,4,1,7,1,7,7,7,7,7,7,1,7,7,7,7,1,7,7,1,7,4,4,1,7,4,4,7,7,1,1,7,7,1,1,7,7,7,1,1,1,7,4,1,7,1,1,7,7,1,7,7,7,7,7,7,7,7,7,50,"I recommended this sentence because Darryl's action led to the death of Frankie.","Justice for the deceased.",23,2,1,4,7,"",3,491,NA,NA,NA,4,7,7,7,7,7,1,7,1,4,1,1,1,1,1,1,7,7,1,1.38354390895301,5.5,7,7,6.625,2.04629331170152,1.71491861032726,2,1,1.4,7,7,7,7,7,7,4,7,3,5.875,5.8,1,1,3.25,7,7,3.7,3,4,3.57142857142857,"Conservative"
